StudentID,FullName,Gender,Branch,CGPA,GraduationYear,Email,Phone
95,Orinder Dhar,Female,EEE,7.64,2027,rattarachana@example.com,7771152321
96,Aarna Thakkar,Male,EEE,8.76,2027,prabhakarbrijesh@example.net,5663618652
97,Maya Handa,Female,DS,8.81,2027,dalallaban@example.com,1573351585
98,Zarna Talwar,Male,AIML,9.77,2027,ommichael@example.org,2079404502
99,Om Gupta,Female,CSM,8.49,2027,bsem@example.org,5652805544
100,Vedant Chawla,Male,CSM,8.82,2027,dpatla@example.net,2308537319
101,Rachit Jani,Male,AIML,6.89,2027,pallaneel@example.org,3843101294
102,Geetika Amble,Female,EEE,7.32,2027,yochanahari@example.com,2746465298
103,Jalsa Gera,Female,CSE,9.71,2027,fradodey@example.org,8273402336
104,Damyanti Sunder,Female,IT,9.44,2027,borranaksh@example.org,3181246799
105,Rachit Thakur,Female,ECE,6.57,2027,parmardaniel@example.org,6141856801
106,Qadim Bhandari,Male,AIML,6.55,2027,ajani@example.org,2512147078
107,Vyanjana Aggarwal,Male,AIML,8.18,2027,wasondivya@example.org,9939432061
108,Chakradev Batra,Female,IT,9.27,2027,ftailor@example.com,2590943125
109,Jacob Chauhan,Female,CSE,7.8,2027,sahayochana@example.com,7459867731
110,Kala Barman,Female,CSM,9.78,2027,chandreshlata@example.com,9080813790
111,Diya Devan,Male,EEE,9.12,2027,murtydivya@example.com,2780726118
112,Ikshita Kara,Male,CSE,7.77,2027,kde@example.com,6251747900
113,Omaja Vala,Male,AIML,8.87,2027,lajita79@example.com,2167137862
114,Aachal Srivastava,Male,AIML,9.62,2027,issacayaan@example.org,9625538785
115,Yamini Purohit,Male,CSE,9.28,2027,mekhala86@example.org,7028007294
116,Luke Prabhu,Male,AIML,6.99,2027,zachariabhavna@example.net,7117685163
117,Dev Mukhopadhyay,Female,EEE,8.4,2027,aishanikhosla@example.com,3371120024
118,Wridesh Balakrishnan,Female,DS,9.9,2027,ayushmannagy@example.com,6218061308
119,Shivansh Rau,Female,DS,6.53,2027,hemanginipatil@example.net,8272108309
120,Jonathan Kunda,Female,CSM,7.07,2027,chowdhuryupkaar@example.org,5603560238
121,Amruta Zacharia,Male,ECE,7.52,2027,dakshesh15@example.net,8937751363
122,Sai Borde,Female,CSE,8.96,2027,nloyal@example.org,0524791116
123,Leena Rama,Female,ECE,7.41,2027,lila50@example.net,1844315224
124,Mohammed Kapadia,Male,AIML,7.71,2027,mpradhan@example.org,0817990558
125,Tarak Lalla,Male,EEE,9.24,2027,anmol18@example.com,6124428314
126,Teerth Sarna,Female,DS,8.29,2027,dyalrachita@example.com,2555397351
127,Indira Vohra,Female,CSE,8.88,2027,acharyabhavika@example.net,5737212013
128,Arunima Parikh,Male,DS,6.6,2027,krishnachahal@example.org,1046213341
129,Samarth Loke,Male,IT,9.73,2027,aarini01@example.com,3804279376
130,Gaurang Chacko,Male,ECE,7.59,2027,odasgupta@example.net,9310546970
131,Kalpit Saran,Male,ECE,8.37,2027,varsha32@example.org,3225327008
132,Mitali Srinivasan,Female,DS,9.07,2027,kallabimala@example.org,6537217067
133,George Jhaveri,Male,AIML,9.21,2027,aashi38@example.com,7770128074
134,Yachana Babu,Female,EEE,7.35,2027,soodoliver@example.org,8498813092
135,Priya Dutta,Male,CSM,8.99,2027,vmitra@example.org,8346192295
136,Nidhi Thakkar,Female,AIML,7.69,2027,qarinsastry@example.org,3780887393
137,Neha Dani,Female,AIML,8.94,2027,onadkarni@example.com,2738534377
138,Damini Kale,Male,DS,8.61,2027,doshisai@example.org,8261920811
139,Jack Sundaram,Female,IT,7.37,2027,madhavchopra@example.org,6195793248
140,Aarav Kadakia,Male,EEE,9.08,2027,boaseabdul@example.org,9020170861
141,Damyanti Singhal,Male,EEE,9.67,2027,umani@example.org,4215214068
142,Advik Garg,Male,ECE,6.85,2027,rchowdhury@example.com,4805240796
143,Ishani Patla,Male,ECE,7.68,2027,eeshadeep@example.org,5827868104
144,Mohini Virk,Male,CSM,7.06,2027,thakerfarhan@example.org,1618217846
145,Ishani Lad,Male,IT,7.49,2027,ekbalpandit@example.org,7021956169
146,Ikbal Parekh,Female,IT,7.44,2027,grao@example.net,0856824044
147,Priya Pillai,Male,IT,8.14,2027,fariqchaudhuri@example.com,2614336050
148,Omisha Swamy,Female,IT,8.09,2027,yuvraj27@example.net,3185759568
149,Champak Nath,Male,CSM,9.61,2027,isha71@example.org,9190790315
150,Tanmayi Datta,Male,ECE,8.38,2027,madanekapad@example.org,8203433055
151,Charita Murthy,Female,CSE,9.26,2027,ayushmanparmer@example.org,0738049297
152,Chatura Gade,Male,EEE,6.93,2027,garaorinder@example.net,8761328392
153,Kevin Manda,Female,DS,9.33,2027,dwalia@example.com,2930176448
154,Krisha Hayer,Female,EEE,7.55,2027,ekaraj99@example.net,0084055228
155,Yasti Mani,Male,CSE,8.42,2027,mitalvaishnavi@example.org,3726449598
156,Bhavna Mitter,Male,DS,7.83,2027,bobalmichael@example.org,1914799184
157,Agastya Kanda,Male,IT,7.84,2027,daksh19@example.com,4570099052
158,Benjamin Dasgupta,Male,IT,9.58,2027,rajagopalanjatin@example.org,8334532215
159,Qushi Reddy,Female,CSM,6.64,2027,rushil13@example.org,4529346089
160,Garima Chahal,Female,ECE,9.04,2027,idika42@example.com,8351837069
161,Xiti Bhatnagar,Female,IT,7.63,2027,jwalla@example.com,7449539668
162,Zayan Magar,Male,CSE,7.94,2027,rauzashil@example.net,0998249959
163,Yashica Sood,Male,IT,9.8,2027,balangunbir@example.org,1264575148
164,Shivani Ghosh,Male,ECE,9.9,2027,dhora@example.com,5774614446
165,Neel Chaudry,Male,AIML,9.07,2027,bhanumati72@example.com,9466358493
166,Fariq Tripathi,Male,CSM,9.46,2027,jmenon@example.com,0323636993
167,Onkar Jain,Male,CSM,9.42,2027,qminhas@example.com,0355118093
168,Wridesh Batta,Female,EEE,7.59,2027,radha72@example.org,0958433092
169,Simon Kunda,Female,DS,8.42,2027,deshpandeparth@example.com,7900769640
170,Neel Sharaf,Male,IT,7.62,2027,npadmanabhan@example.net,9658454342
171,Damyanti Yadav,Female,CSE,7.19,2027,urishilla16@example.com,3497454715
172,Yutika Bhatt,Female,ECE,9.35,2027,zkari@example.net,2101239622
173,Daniel Comar,Female,IT,9.42,2027,kondaaachal@example.com,6369025949
174,Avni Sane,Female,EEE,6.69,2027,varshasaran@example.net,4921984518
175,Laban Varughese,Male,EEE,7.17,2027,sarkaridika@example.net,1971076158
176,Patrick Magar,Male,ECE,9.24,2027,ladlidara@example.org,0155320903
177,Elijah Khosla,Female,AIML,6.96,2027,hmittal@example.org,0591271711
178,Anay Pant,Male,DS,6.96,2027,amrita26@example.net,4568678136
179,Shravya Dhaliwal,Female,IT,9.79,2027,amairabora@example.org,8361388873
180,Warda Nayak,Female,CSM,8.03,2027,hbal@example.org,2645659226
181,Darika Karan,Female,CSM,9.16,2027,raourvashi@example.net,7322869079
182,Krisha Kaul,Male,AIML,8.77,2027,lakshitswamy@example.org,7386669340
183,Harrison Sarraf,Female,ECE,8.06,2027,ranveer42@example.com,6175070275
184,Viraj Chand,Male,CSE,8.33,2027,asampath@example.com,8395786121
185,Nihal Kar,Female,DS,8.86,2027,iramadan@example.org,5847423830
186,Bhavika Narain,Male,EEE,9.75,2027,thakkarojasvi@example.com,7558722755
187,Nakul Dass,Male,EEE,8.06,2027,vsarraf@example.com,2768604197
188,Jagat Master,Male,EEE,9.81,2027,kakarchampak@example.com,7196294968
189,Oviya Tak,Male,DS,6.57,2027,veer55@example.net,8930028660
190,Laksh Thakkar,Female,DS,8.76,2027,maanavchaudhari@example.com,6287852350
191,Samar Panchal,Male,ECE,9.85,2027,harshil12@example.com,7954830055
192,Faqid Sama,Female,EEE,8.32,2027,osha90@example.com,3583321194
193,Kai Ranganathan,Female,CSM,9.57,2027,vincent77@example.org,5798355275
194,Advaith Mannan,Male,AIML,7.62,2027,kashyapmatthew@example.com,8102480921
195,Ansh Andra,Male,CSE,8.89,2027,surxiti@example.com,6606805608
196,Yatin Ranganathan,Male,CSE,7.14,2027,dhruvmadan@example.com,5777262502
197,Rehaan Prabhu,Female,CSE,8.15,2027,zachariahupma@example.net,7566380392
198,Oeshi Oza,Male,IT,7.69,2027,subramaniamyashvi@example.net,3685411447
199,Krisha Dhar,Female,EEE,9.52,2027,zratta@example.com,0231243161
200,Shivansh Varkey,Male,DS,7.75,2027,qmisra@example.com,7933859435
